date,price
1/15/2008,5331.605
2/15/2008,5787
3/15/2008,6549.875
4/15/2008,7222.5
5/15/2008,8588.89
6/15/2008,8453.89
7/15/2008,7697.22
8/15/2008,7182.5
9/15/2008,6185.625
10/15/2008,5845
11/15/2008,4785.895
12/15/2008,4850.895
1/15/2009,5037.5
2/15/2009,5828.57
3/15/2009,6230
4/15/2009,6391.25
5/15/2009,5939.17
6/15/2009,5770
7/15/2009,5835.715
8/15/2009,5593.78
9/15/2009,5501.875
10/15/2009,5931.25
11/15/2009,6787.5
12/15/2009,8138.89
1/15/2010,8083.335
2/15/2010,7558.75
3/15/2010,6108.375
4/15/2010,5900
5/15/2010,5906.25
6/15/2010,5837.5
7/15/2010,5443.75
8/15/2010,6255.335
9/15/2010,7475
10/15/2010,7750
11/15/2010,8498
12/15/2010,8767.5
1/15/2011,8286.665
2/15/2011,7972.5
3/15/2011,8116.39
4/15/2011,8517.5
5/15/2011,8580.855
6/15/2011,8417.22
7/15/2011,8747.125
8/15/2011,9629.665
9/15/2011,9734.05
10/15/2011,10085.89
11/15/2011,10244.445
12/15/2011,9044.05
1/15/2012,8215
2/15/2012,7699.45
3/15/2012,7277.5
4/15/2012,7338.4
5/15/2012,7496.55
6/15/2012,7301.9
7/15/2012,7281.1
8/15/2012,7631.65
9/15/2012,8053.75
10/15/2012,8174.2
11/15/2012,8256.25
12/15/2012,7682.5
1/15/2013,7475
2/15/2013,7078
3/15/2013,7241.25
4/15/2013,7175.835
5/15/2013,7081
6/15/2013,6867.5
7/15/2013,6940
8/15/2013,7173.335
9/15/2013,6807.5
10/15/2013,7081.25
11/15/2013,7382.5
12/15/2013,7812.5
1/15/2014,7700
2/15/2014,7661.165
3/15/2014,7470
4/15/2014,7206.25
5/15/2014,7316.665
6/15/2014,7241.25
7/15/2014,7631.25
8/15/2014,8247.5
9/15/2014,8195
10/15/2014,7981.25
11/15/2014,7792.5
12/15/2014,7213.75
1/15/2015,7025
2/15/2015,6825
3/15/2015,6978.75
4/15/2015,6943.75
5/15/2015,6806.25
6/15/2015,6738.75
7/15/2015,6675
8/15/2015,6725
9/15/2015,6725
10/15/2015,6887.5
11/15/2015,7487.5
12/15/2015,7512.5
1/15/2016,7414.585
2/15/2016,7237.5
3/15/2016,7352.5
4/15/2016,7425
5/15/2016,7350
6/15/2016,7135.415
7/15/2016,6983.335
8/15/2016,6945
9/15/2016,6731.25
10/15/2016,6660
11/15/2016,6918.75
12/15/2016,6845
1/15/2017,6833.335
2/15/2017,7029.165
3/15/2017,7116.665
4/15/2017,7035.415
5/15/2017,6815
6/15/2017,7250
7/15/2017,7845
8/15/2017,7891.665
9/15/2017,7745
10/15/2017,7887.5
11/15/2017,8135.415
12/15/2017,8052.5
1/15/2018,8051.25
2/15/2018,8425
3/15/2018,8750
4/15/2018,8633.33
5/15/2018,8900
6/15/2018,8900
7/15/2018,8825
8/15/2018,8250
9/15/2018,8253.33
10/15/2018,8300
11/15/2018,8283.33
12/15/2018,7000
1/15/2019,8385
2/15/2019,7850
3/15/2019,6000
4/15/2019,8320
5/15/2019,4700
6/15/2019,4050
7/15/2019,4400
8/15/2019,4750
9/15/2019,4200
10/15/2019,4200
11/15/2019,5000
12/15/2019,5500
1/15/2020,6000
2/15/2020,6600
3/15/2020,5400
4/15/2020,6200
5/15/2020,5700
6/15/2020,6050
7/15/2020,6800
8/15/2020,5050
9/15/2020,6100
10/15/2020,6300
11/15/2020,6650
12/15/2020,6900
1/15/2021,11191
2/15/2021,11100
3/15/2021,10841
4/15/2021,10162.5
5/15/2021,10287.5
6/15/2021,5617.5
7/15/2021,5115
8/15/2021,4920
9/15/2021,5130
10/15/2021,5400
11/15/2021,5365
12/15/2021,4976
1/15/2022,4983
2/15/2022,5016
3/15/2022,5074
4/15/2022,5025
5/15/2022,5125
6/15/2022,5125
