date,price
2018-08-22,21.17
2018-08-23,21.17
2018-08-24,21.17
2018-08-25,21.17
2018-08-26,21.17
2018-08-27,21.17
2018-08-28,21.17
2018-08-29,21.17
2018-08-30,21.17
2018-08-31,21.17
2018-09-01,21.17
2018-09-02,21.17
2018-09-03,21.17
2018-09-04,21.17
2018-09-05,21.17
2018-09-06,21.47
2018-09-07,21.47
2018-09-08,21.47
2018-09-09,21.47
2018-09-10,21.47
2018-09-11,21.47
2018-09-12,21.47
2018-09-13,21.47
2018-09-14,21.47
2018-09-15,21.47
2018-09-16,21.47
2018-09-17,21.47
2018-09-18,21.47
2018-09-19,21.47
2018-09-20,21.47
2018-09-21,21.77
2018-09-22,21.77
2018-09-23,21.77
2018-09-24,21.77
2018-09-25,21.77
2018-09-26,21.77
2018-09-27,21.77
2018-09-28,21.77
2018-09-29,21.77
2018-09-30,21.77
2018-10-01,21.77
2018-10-02,21.77
2018-10-03,21.77
2018-10-04,21.77
2018-10-05,21.77
2018-10-06,22.34
2018-10-07,22.34
2018-10-08,22.34
2018-10-09,22.34
2018-10-10,22.34
2018-10-11,22.34
2018-10-12,22.34
2018-10-13,22.34
2018-10-14,22.34
2018-10-15,22.34
2018-10-16,22.34
2018-10-17,22.34
2018-10-18,22.34
2018-10-19,22.34
2018-10-20,22.34
2018-10-21,22.34
2018-10-22,22.2
2018-10-23,22.2
2018-10-24,22.2
2018-10-25,22.2
2018-10-26,22.2
2018-10-27,22.2
2018-10-28,22.2
2018-10-29,22.2
2018-10-30,22.2
2018-10-31,22.2
2018-11-01,22.2
2018-11-02,22.2
2018-11-03,22.2
2018-11-04,22.2
2018-11-05,22.2
2018-11-06,21.06
2018-11-07,21.06
2018-11-08,21.06
2018-11-09,21.06
2018-11-10,21.06
2018-11-11,21.06
2018-11-12,21.06
2018-11-13,21.06
2018-11-14,21.06
2018-11-15,21.06
2018-11-16,21.06
2018-11-17,21.06
2018-11-18,21.06
2018-11-19,21.06
2018-11-20,21.06
2018-11-21,19.97
2018-11-22,19.97
2018-11-23,19.97
2018-11-24,19.97
2018-11-25,19.97
2018-11-26,19.97
2018-11-27,19.97
2018-11-28,19.97
2018-11-29,19.97
2018-11-30,19.97
2018-12-01,19.97
2018-12-02,19.97
2018-12-03,19.97
2018-12-04,19.97
