date,price
2018-08-22,21.17
2018-08-25,21.17
2018-08-28,21.17
2018-08-31,21.17
2018-09-03,21.17
2018-09-06,21.47
2018-09-09,21.47
2018-09-12,21.47
2018-09-15,21.47
2018-09-18,21.47
2018-09-21,21.77
2018-09-24,21.77
2018-09-27,21.77
2018-09-30,21.77
2018-10-03,21.77
2018-10-06,22.34
2018-10-09,22.34
2018-10-12,22.34
2018-10-15,22.34
2018-10-18,22.34
2018-10-21,22.34
2018-10-24,22.2
2018-10-27,22.2
2018-10-30,22.2
2018-11-02,22.2
2018-11-05,22.2
2018-11-08,21.06
2018-11-11,21.06
2018-11-14,21.06
2018-11-17,21.06
2018-11-20,21.06
2018-11-23,19.97
2018-11-26,19.97
2018-11-29,19.97
2018-12-02,19.97
2018-12-05,19.97
2018-12-08,18.45
2018-12-11,18.45
2018-12-14,18.45
2018-12-17,18.45
2018-12-20,18.45
2018-12-23,18.14
2018-12-26,18.14
2018-12-29,18.14
2019-01-01,17.6
2019-01-04,17.6
2019-01-07,17.6
2019-01-10,17.6
2019-01-13,17.6
2019-01-16,17.6
2019-01-19,17.6
2019-01-22,17.6
2019-01-25,17.6
2019-01-28,17.6
2019-01-31,17.6
2019-02-03,17.6
2019-02-06,17.6
2019-02-09,17.6
2019-02-12,17.6
2019-02-15,17.6
2019-02-18,17.6
2019-02-21,17.6
2019-02-24,17.6
2019-02-27,17.6
2019-03-02,18.54
2019-03-05,18.54
2019-03-08,18.54
2019-03-11,18.54
2019-03-14,18.54
2019-03-17,18.54
2019-03-20,18.54
2019-03-23,18.54
2019-03-26,18.54
2019-03-29,18.54
2019-04-01,18.54
2019-04-04,20.03
2019-04-07,20.03
2019-04-10,20.03
2019-04-13,20.03
2019-04-16,20.03
2019-04-19,21.23
2019-04-22,21.23
2019-04-25,21.23
2019-04-28,21.23
2019-05-01,21.23
2019-05-04,22.19
2019-05-07,22.19
2019-05-10,22.19
2019-05-13,22.19
2019-05-16,22.19
2019-05-19,21.59
2019-05-22,21.59
2019-05-25,21.59
2019-05-28,21.59
2019-05-31,21.59
2019-06-03,21.21
2019-06-06,21.21
2019-06-09,21.21
2019-06-12,21.21
2019-06-15,21.21
2019-06-18,20.13
2019-06-21,20.13
2019-06-24,20.13
2019-06-27,20.13
2019-06-30,20.13
2019-07-03,20.51
2019-07-06,20.51
2019-07-09,20.51
2019-07-12,20.51
2019-07-15,20.51
2019-07-18,21.23
2019-07-21,21.23
2019-07-24,21.23
2019-07-27,21.23
2019-07-30,21.23
2019-08-02,20.91
2019-08-05,20.91
2019-08-08,20.91
2019-08-11,20.91
2019-08-14,20.91
2019-08-17,20.4
2019-08-20,20.4
2019-08-23,20.4
2019-08-26,20.4
2019-08-29,20.4
