date,price
2018-08-22,21.17
2018-10-06,22.34
2018-11-21,19.97
2019-01-01,17.6
2019-02-15,17.6
2019-04-02,20.03
2019-05-17,21.59
2019-07-02,20.51
2019-08-16,20.4
2019-10-01,21.06
2019-11-15,20.79
2019-12-31,20.99
2020-02-14,19.38
2020-03-29,12.56
2020-05-13,12.23
2020-06-27,14.08
2020-08-12,14.92
2020-09-26,14.98
2020-11-11,14.7
2020-12-26,16.47
2021-02-10,17.27
2021-03-27,19.04
2021-05-12,19.16
2021-06-26,20.91
2021-08-11,21.68
2021-09-25,21.94
2021-11-10,24.99
2021-12-25,23.29
2022-02-11,25.32
2022-03-11,29.82
2022-04-12,27.31
2022-05-11,29.98
2022-06-13,32.37
2022-07-11,29.67
2022-08-11,24.66
2022-09-12,23.21
2022-10-11,22.0
2022-11-11,23.86
2022-12-12,21.2
2023-01-11,22.15
2023-02-21,23.44
2023-03-21,23.03
2023-04-21,23.63
2023-05-22,21.49
2023-06-12,21.49
2023-07-11,21.49
2023-08-11,23.99
2023-09-11,24.87
2023-10-11,23.04
