date,RON 95-III,RON 92-II
8/22/2018,21.17,19.61
8/23/2018,21.17,19.61
8/24/2018,21.17,19.61
8/25/2018,21.17,19.61
8/26/2018,21.17,19.61
8/27/2018,21.17,19.61
8/28/2018,21.17,19.61
8/29/2018,21.17,19.61
8/30/2018,21.17,19.61
8/31/2018,21.17,19.61
9/1/2018,21.17,19.61
9/2/2018,21.17,19.61
9/3/2018,21.17,19.61
9/4/2018,21.17,19.61
9/5/2018,21.17,19.61
9/6/2018,21.47,19.91
9/7/2018,21.47,19.91
9/8/2018,21.47,19.91
9/9/2018,21.47,19.91
9/10/2018,21.47,19.91
9/11/2018,21.47,19.91
9/12/2018,21.47,19.91
9/13/2018,21.47,19.91
9/14/2018,21.47,19.91
9/15/2018,21.47,19.91
9/16/2018,21.47,19.91
9/17/2018,21.47,19.91
9/18/2018,21.47,19.91
9/19/2018,21.47,19.91
9/20/2018,21.47,19.91
9/21/2018,21.77,20.23
9/22/2018,21.77,20.23
9/23/2018,21.77,20.23
9/24/2018,21.77,20.23
9/25/2018,21.77,20.23
9/26/2018,21.77,20.23
9/27/2018,21.77,20.23
9/28/2018,21.77,20.23
9/29/2018,21.77,20.23
9/30/2018,21.77,20.23
10/1/2018,21.77,20.23
10/2/2018,21.77,20.23
10/3/2018,21.77,20.23
10/4/2018,21.77,20.23
10/5/2018,21.77,20.23
10/6/2018,22.34,20.9
10/7/2018,22.34,20.9
10/8/2018,22.34,20.9
10/9/2018,22.34,20.9
10/10/2018,22.34,20.9
10/11/2018,22.34,20.9
10/12/2018,22.34,20.9
10/13/2018,22.34,20.9
10/14/2018,22.34,20.9
10/15/2018,22.34,20.9
10/16/2018,22.34,20.9
10/17/2018,22.34,20.9
10/18/2018,22.34,20.9
10/19/2018,22.34,20.9
10/20/2018,22.34,20.9
10/21/2018,22.34,20.9
10/22/2018,22.2,20.68
10/23/2018,22.2,20.68
10/24/2018,22.2,20.68
10/25/2018,22.2,20.68
10/26/2018,22.2,20.68
10/27/2018,22.2,20.68
10/28/2018,22.2,20.68
10/29/2018,22.2,20.68
10/30/2018,22.2,20.68
10/31/2018,22.2,20.68
11/1/2018,22.2,20.68
11/2/2018,22.2,20.68
11/3/2018,22.2,20.68
11/4/2018,22.2,20.68
11/5/2018,22.2,20.68
11/6/2018,21.06,19.6
11/7/2018,21.06,19.6
11/8/2018,21.06,19.6
11/9/2018,21.06,19.6
11/10/2018,21.06,19.6
11/11/2018,21.06,19.6
11/12/2018,21.06,19.6
11/13/2018,21.06,19.6
11/14/2018,21.06,19.6
11/15/2018,21.06,19.6
11/16/2018,21.06,19.6
11/17/2018,21.06,19.6
11/18/2018,21.06,19.6
11/19/2018,21.06,19.6
11/20/2018,21.06,19.6
11/21/2018,19.97,18.62
11/22/2018,19.97,18.62
11/23/2018,19.97,18.62
11/24/2018,19.97,18.62
11/25/2018,19.97,18.62
11/26/2018,19.97,18.62
11/27/2018,19.97,18.62
11/28/2018,19.97,18.62
11/29/2018,19.97,18.62
11/30/2018,19.97,18.62
12/1/2018,19.97,18.62
12/2/2018,19.97,18.62
12/3/2018,19.97,18.62
12/4/2018,19.97,18.62
12/5/2018,19.97,18.62
12/6/2018,18.45,17.18
12/7/2018,18.45,17.18
12/8/2018,18.45,17.18
12/9/2018,18.45,17.18
12/10/2018,18.45,17.18
12/11/2018,18.45,17.18
12/12/2018,18.45,17.18
12/13/2018,18.45,17.18
