date,RON 95-III,RON 92-II
8/22/2018,21.17,19.61
9/6/2018,21.47,19.91
9/21/2018,21.77,20.23
10/6/2018,22.34,20.9
10/22/2018,22.2,20.68
11/6/2018,21.06,19.6
11/21/2018,19.97,18.62
12/6/2018,18.45,17.18
12/21/2018,18.14,16.78
1/1/2019,17.6,16.27
1/16/2019,17.6,16.27
1/31/2019,17.6,16.27
2/15/2019,17.6,16.27
3/2/2019,18.54,17.21
3/18/2019,18.54,17.21
4/2/2019,20.03,18.58
4/17/2019,21.23,19.7
5/2/2019,22.19,20.68
5/17/2019,21.59,20.48
6/1/2019,21.21,20.21
6/17/2019,20.13,19.23
7/2/2019,20.51,19.65
7/17/2019,21.23,20.27
8/1/2019,20.91,19.9
8/16/2019,20.4,19.35
8/31/2019,20.23,19.22
9/16/2019,20.14,19.11
10/1/2019,21.06,19.78
10/16/2019,20.79,20.79
10/31/2019,20.44,19.25
11/15/2019,20.79,19.5
11/30/2019,21.07,19.81
12/16/2019,20.88,19.72
12/31/2019,20.99,19.88
1/15/2020,20.91,19.84
1/30/2020,20.12,19.26
2/14/2020,19.38,18.5
2/29/2020,19.12,18.34
3/15/2020,16.81,16.05
3/29/2020,12.56,11.95
4/13/2020,11.93,11.34
4/28/2020,11.63,10.94
5/13/2020,12.23,11.52
5/28/2020,13.12,12.4
6/12/2020,14.08,13.39
6/27/2020,14.08,13.39
7/13/2020,14.97,14.25
7/28/2020,14.97,14.25
8/12/2020,14.92,14.4
8/27/2020,15.11,14.4
9/11/2020,14.98,14.26
9/26/2020,14.98,14.21
10/12/2020,15.12,14.26
10/27/2020,14.94,14.1
11/11/2020,14.7,13.88
11/26/2020,15.35,14.49
12/11/2020,16,15.12
12/26/2020,16.47,15.51
1/11/2021,16.93,16.93
1/26/2021,16.93,16.93
2/10/2021,17.27,16.3
2/25/2021,18.08,17.03
3/12/2021,18.88,17.72
3/27/2021,19.04,17.85
4/12/2021,18.97,17.8
4/27/2021,19.16,17.98
5/12/2021,19.16,17.98
5/27/2021,19.53,18.42
6/11/2021,20.16,19.04
6/26/2021,20.91,19.76
7/12/2021,21.78,20.61
7/27/2021,21.78,20.61
8/11/2021,21.68,20.49
8/26/2021,21.13,19.89
9/10/2021,21.39,20.14
9/25/2021,21.94,20.71
10/11/2021,22.87,21.68
10/26/2021,24.33,23.11
11/10/2021,24.99,23.66
11/25/2021,23.9,22.91
12/10/2021,22.8,22.08
12/25/2021,23.29,22.55
1/11/2022,23.87,23.15
1/21/2022,24.36,23.59
2/11/2022,25.32,24.57
2/21/2022,26.28,25.53
3/1/2022,26.83,26.07
3/11/2022,29.82,28.98
3/21/2022,29.19,28.33
4/1/2022,28.15,27.3
4/12/2022,27.31,26.47
4/21/2022,27.99,27.13
5/4/2022,28.43,27.46
5/11/2022,29.98,28.95
5/23/2022,30.65,29.63
6/1/2022,31.57,30.23
6/13/2022,32.37,31.11
6/21/2022,32.87,31.3
7/1/2022,32.76,30.89
7/11/2022,29.67,27.78
7/21/2022,26.07,25.07
8/1/2022,25.6,24.62
8/11/2022,24.66,23.72
8/22/2022,24.66,23.72
9/5/2022,24.23,23.35
9/12/2022,23.21,22.23
9/21/2022,22.58,21.78
10/3/2022,21.44,20.73
10/11/2022,22,21.29
10/21/2022,22.34,21.49
11/1/2022,22.75,21.87
11/11/2022,23.86,22.71
11/21/2022,23.78,22.67
12/1/2022,22.7,21.67
12/12/2022,21.2,20.34
12/21/2022,20.7,19.97
1/1/2023,21.8,21.02
1/11/2023,22.15,21.35
1/30/2023,23.14,22.32
2/13/2023,23.76,22.86
2/21/2023,23.44,22.54
3/1/2023,23.32,22.42
3/13/2023,23.81,22.8
3/21/2023,23.03,22.02
4/3/2023,23.12,22.08
4/11/2023,24.24,23.17
4/21/2023,23.63,22.68
5/4/2023,22.32,21.43
5/11/2023,21,20.13
5/22/2023,21.49,20.48
6/1/2023,22.01,20.87
6/2/2023,21.49,20.48
6/12/2023,21.49,20.48
6/21/2023,22.01,20.87
7/3/2023,21.42,20.47
7/11/2023,21.49,20.41
7/21/2023,22.79,21.63
8/1/2023,23.96,22.79
8/11/2023,23.99,22.82
8/21/2023,24.6,23.33
9/5/2023,24.87,23.47
9/11/2023,24.87,23.47
9/21/2023,25.74,24.19
10/2/2023,24.84,23.5
10/11/2023,23.04,21.9
10/23/2023,23.51,22.36
11/1/2023,23.92,22.61
