name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vietnam,2021-01-01,18.3,9.5,13.4,18.3,7.5,13.3,-0.5,42.3,0,0,0,,,,,14.8,16.2,1025.5,29.5,9.3,208.4,17.8,8,,2021-01-01T06:33:47,2021-01-01T17:26:34,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-02,20,7.7,13.5,20,7.7,13.5,3.9,56.3,0,0,0,,,,,9.4,77.3,1022.1,11.2,7.3,206.3,17.8,8,,2021-01-02T06:34:06,2021-01-02T17:27:12,0.61,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-03,21,9.8,15.1,21,9.3,15.1,5.4,54.4,0,0,0,,,,,18.4,54.3,1021.8,17.7,7.7,197.8,17.1,7,,2021-01-03T06:34:23,2021-01-03T17:27:50,0.64,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-04,20,13.8,16.9,20,13.8,16.9,6,49.8,0,0,0,,,,,9.4,19.6,1021.1,45.9,8.5,193.7,16.7,7,,2021-01-04T06:34:39,2021-01-04T17:28:28,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-05,19.7,14,17.2,19.7,14,17.2,9.9,62.8,0,0,0,,,,,11.2,348.6,1020.3,89.8,5.4,163.3,14.2,6,,2021-01-05T06:34:55,2021-01-05T17:29:07,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-06,17.7,16,16.5,17.7,16,16.5,9.9,65.5,0,0,0,,,,,13,11.6,1019.1,87.6,6.8,158.1,13.7,6,,2021-01-06T06:35:09,2021-01-06T17:29:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-07,16.4,12,14.5,16.4,12,14.5,7.6,63.5,0.01,100,4.17,rain,,,,20.5,29.8,1020.1,89.5,7.8,134.8,11.7,5,,2021-01-07T06:35:21,2021-01-07T17:30:26,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-08,12.1,10,11.1,12.1,10,11.1,2,53.8,0.1,100,4.17,rain,,,,22.3,19.7,1025.6,87.3,10.1,134.2,11.6,5,,2021-01-08T06:35:33,2021-01-08T17:31:06,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-09,12,9,10.4,12,6.7,9.8,-2.1,42.2,0,0,0,,,,,14.8,30.4,1025.2,76.2,10.1,179.4,15.3,7,,2021-01-09T06:35:43,2021-01-09T17:31:46,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-10,12.6,10,11,12.6,10,11,-1.9,41,0,0,0,,,,,13,7.6,1024.3,80.5,10,183,15.9,7,,2021-01-10T06:35:52,2021-01-10T17:32:27,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-11,16,11,12.9,16,11,12.9,-1.7,37.6,0,0,0,,,,,20.5,353.3,1028.8,80.7,10.1,141.6,12.3,5,,2021-01-11T06:36:00,2021-01-11T17:33:07,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-12,19,6.1,14.4,19,3.4,14.3,-1.5,36.7,0,0,0,,,,,16.6,328.3,1026,42,10,209.2,17.9,8,,2021-01-12T06:36:06,2021-01-12T17:33:48,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
vietnam,2021-01-13,21,9.4,15.3,21,9,15.3,2.9,46.6,0,0,0,,,,,18.4,122.6,1018.6,23.3,8.3,204.4,17.4,8,,2021-01-13T06:36:11,2021-01-13T17:34:29,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-14,21,10.7,15.8,21,10.7,15.8,7.4,59.1,0,0,0,,,,,11.2,124,1017.1,12.5,7,176.2,15.2,7,,2021-01-14T06:36:15,2021-01-14T17:35:09,0.03,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-15,19,10.6,16.1,19,10.6,16.1,12,77.7,0,0,0,,,,,14.8,100,1015.4,44.6,4.4,147.6,12.7,5,,2021-01-15T06:36:17,2021-01-15T17:35:50,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
vietnam,2021-01-16,20.2,16,18.1,20.2,16,18.1,13.2,73.3,0,0,0,,,,,9.4,18.3,1016,65.8,4.5,132.7,11.4,5,,2021-01-16T06:36:18,2021-01-16T17:36:31,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-17,18,13,15.7,18,13,15.7,9.9,70.3,2.635,100,8.33,rain,,,,22.3,4,1024.8,78.1,7.2,56.6,4.9,2,,2021-01-17T06:36:18,2021-01-17T17:37:12,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-18,19.5,10,15,19.5,10,15,3.7,47.5,0,0,0,,,,,13.8,11.7,1024.3,22.4,9.6,209.6,18,8,,2021-01-18T06:36:16,2021-01-18T17:37:52,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-19,21,10,15,21,10,15,7.9,65.6,0,0,0,,,,,16.6,111,1018.8,0.2,6.9,215.8,18.6,8,,2021-01-19T06:36:14,2021-01-19T17:38:33,0.19,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
vietnam,2021-01-20,20.7,12,16.3,20.7,12,16.3,11.1,72.7,0,0,0,,,,,11.2,75.9,1016.9,37,4.8,193.6,16.6,7,,2021-01-20T06:36:09,2021-01-20T17:39:13,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-21,18.1,16,16.9,18.1,16,16.9,13.4,80.3,0,0,0,,,,,9.4,289.2,1015.9,53.8,3.5,209.3,18.2,8,,2021-01-21T06:36:04,2021-01-21T17:39:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-22,23,16,18.8,23,16,18.8,13.8,73.5,0,0,0,,,,,11.2,295,1015.4,22.8,4,179,15.2,6,,2021-01-22T06:35:57,2021-01-22T17:40:34,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-23,23.5,14,18.9,23.5,14,18.9,13.1,71,0,0,0,,,,,11.2,91.3,1014.5,18.1,4.7,166.7,14.4,7,,2021-01-23T06:35:49,2021-01-23T17:41:14,0.32,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-24,24.4,15.9,20,24.4,15.9,20,14.3,70.8,0,0,0,,,,,18.4,115.4,1013.1,22.7,5.3,204.4,17.6,7,,2021-01-24T06:35:39,2021-01-24T17:41:53,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-01-25,22,19,20.5,22,19,20.5,18,86,0.1,100,8.33,rain,,,,14.8,128,1014.9,69.9,4.3,189.1,16.4,7,,2021-01-25T06:35:28,2021-01-25T17:42:33,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
